Title,Organization,Course_duration,Course_clases,Course_level,Course_actual_price,Course_original_price
"Domina Adobe XD CREA PROTOTIPOS increíbles de CERO A MAESTRO
Al final de este curso podrás diseñar a medida interfaces de usuario para todo tipo de plataformas Web y Móvil","Lucía Fernández, Álvaro García",29 horas en total,45 ,Intermedio,"14,99 €","24,99 €"
"Curso completo de Solidworks 2022
Domina y conviertete en experto con nuestro curso de Solidworks Básico - Intermedio",Iván Gómez,27 horas en total,331 ,Principiante,"14,99 €","19,99 €"
"Técnicas y Secretos de Diseño Illustrator, Curso Completo.
Manejo y Edición de diseños simples a profesionales de manera Creativa",Creativity Unleashed,"4,5 horas en total",38 ,Principiante,"14,99 €","24,99 €"
"Escultura 3D con ZBRUSH
Crea personajes para concept con ZBrush",Jesús Fernández,5 horas en total,77 ,Experto,"14,99 €","34,99 €"
"Diseño UI: diseño visual y diseño de interfaz con Figma 2023
Curso de UI/UX y Diseño Visual. Aprendé a diseñar páginas web y aplicaciones móviles funcionales y estéticas con Figma",Jordan Alexander,8 horas en total,51 ,Todos los niveles,"14,99 €","29,99 €"
"Pixel Art Desbloqueado - Diseño de Personajes - PixelArt 201
Diseño y Creación de Personajes en Pixel Art",Architale - Cursos de arquitectura,1 hora en total,10 ,Principiante,"14,99 €","19,99 €"
"Curso Básico de Cadworx Plant para Principiantes nivel 2
Conoce la continuación de curso básico del programa de diseño Cadworx Plant para plantas Industriales",Federico Rodriguez,"1,5 horas en total",56 ,Principiante,"14,99 €","19,99 €"
"Curso de SKETCHUP & Desde iniciación a nivel avanzado
Curso de Sketchup para transformar tus habilidades y convertirte en un verdadero PRO del modelado 3D","Álvaro García, Cursos Online Arquitectura, Formación Certificada","1,5 horas en total",17 ,Principiante,"14,99 €","19,99 €"
"Diseña tu Web en WordPress con Divi
Aprende a crear una web profesional paso a paso sin conocimientos previos ni códigos de programación.",Ruth Cepero,2 horas en total,19 ,Intermedio,"14,99 €","94,99 €"
"Crea personajes en blender + rig y animación - nivel básico
Aprende Blender desde cero",Marlon Ceballos,"1,5 horas en total",13 ,Principiante,"19,99 €",
