Title,Organization,Price,Info
"Aprende Miro de 0 a Intermedio: Trabajo Colaborativo
Dispara la colaboración a niveles inimaginables utilizando MIRO como un experto!.",Ricardo Naya,"Precio actual
14,99 €
Precio original
94,99 €",2 horas en total13 clasesTodos los niveles
"Aprende a utilizar Power Apps y Power Automate
Descubre el potencial de la automatización de tareas con Power Automate y crea aplicaciones para cualquier necesidad",Ricardo Naya,"Precio actual
14,99 €
Precio original
89,99 €","8,5 horas en total56 clasesIntermedio"
"Marca la diferencia con Excel
Excel Intermedio",Ernesto Arreaga,"Precio actual
14,99 €
Precio original
19,99 €",5 horas en total16 clasesIntermedio
"Proyectos con Oracle Primavera P6 de cero a Experto
Gestiona de forma exitosa tus proyecto",Jorge Luis Rios Angulo,"Precio actual
14,99 €
Precio original
19,99 €",14 horas en total9 clasesTodos los niveles
"Máster en Notion
de 0 a experto",Daniel Martinez,"Precio actual
14,99 €
Precio original
19,99 €","2,5 horas en total31 clasesPrincipiante"
"Curso para PRINCIPIANTES de Zoho CRM
Aprende los primeros pasos que debes seguir para configurar Zoho CRM desde 0",Juan Pablo Enriquez Ortiz,"Precio actual
14,99 €
Precio original
19,99 €",3 horas en total65 clasesPrincipiante
"Microsoft PowerPoint COMPLETO desde 0
Aprende a utilizar PowerPoint desde 0 hasta el final, sin necesidad de tener conocimientos previos.",Luis Rojas,"Precio actual
14,99 €
Precio original
44,99 €","3,5 horas en total22 clasesTodos los niveles"
"Excel Completo de Cero a Avanzado - Modelado de datos
Clases de Excel (Básico-Intermedio-Avanzado) con Particular de Excel. Preparacion para Data Analysis.","Numpi Cursos, Gabriela Segovia Castro","Precio actual
14,99 €
Precio original
19,99 €","1,5 horas en total44 clasesTodos los niveles"
"Excel Completo: Fórmulas, Tablas Dinámicas y más..
Desde principiante hasta avanzado",Miquel Nadal Vela,"Precio actual
14,99 €
Precio original
94,99 €",8 horas en total90 clasesTodos los niveles
"Curso de Excel - fórmulas, tablas dinámicas y dashboards
Curso de Excel 100 % al grano y sin rodeos donde aprenderás a aplicar fórmulas, tablas dinámicas y dashboards.",Ivan AlsiGo,"Precio actual
14,99 €
Precio original
94,99 €",3 horas en total63 clasesTodos los niveles
"Google Drive: Aprende Docs y Slides desde 0
Aprenda las herramientas para crear documentos y presentaciones de Google Drive de una manera fácil y practica.",Marcelo Concha,"Precio actual
14,99 €
Precio original
24,99 €",8 horas en total48 clasesIntermedio
"Microsoft Word | Curso Completo (Spanish Edition)
Microsoft Office 365, potencia tu vida profesional.",Pedro José Hernández Muñoz,"Precio actual
14,99 €
Precio original
19,99 €","10,5 horas en total27 clasesTodos los niveles"
"Taller de productividad con Notion
Incrementa tu productividad con herramientas y técnicas efectivas",Carmen Eugenia Quintero,"Precio actual
14,99 €
Precio original
39,99 €",10 horas en total36 clasesTodos los niveles
"Automatiza tu trabajo con macros de Excel (VBA)
Aprende a programar y a automatizar procesos con macros",José G Guevara L,"Precio actual
14,99 €
Precio original
29,99 €",5 horas en total71 clasesPrincipiante
"Crea Correos Corporativos con Dominio Propio en Gmail 2023
Aprende a como crear correos corporativos con dominio propio en Gmail, de forma fácil y simple.",Andrés G,"Precio actual
14,99 €
Precio original
24,99 €",33 minutos en total10 clasesTodos los niveles
"Introducción a la Gestión Empresarial con SAP R/3
¡Curso inicial para comprender el universo de SAP!",Millennials Consulting,"Precio actual
14,99 €
Precio original
34,99 €",1 hora en total5 clasesPrincipiante
"Notion. Gestión de Proyectos y Aumento de la Productividad
Aprende Todo sobre Notion. Software Multiplataforma de Gestión de Proyectos, Notas, Plazos, Objetivos, Tareas",Educación Digital,"Precio actual
14,99 €
Precio original
19,99 €",6 horas en total48 clasesTodos los niveles
"Curso 100% practico de GTD con FacileThings
Triplica ya tu productividad con el paso a paso para hacerlo.",Particular de Excel,"Precio actual
14,99 €
Precio original
29,99 €",4 horas en total22 clasesPrincipiante
"Teams de Microsoft: Productividad para equipos de trabajo
Cómo trabajar en equipo sin importar desde dónde",Alfonso Rinsche,"Precio actual
14,99 €
Precio original
34,99 €",3 horas en total13 clasesPrincipiante
"Microsoft Word 2019: De cero a Avanzado
Word 2019",Alfonso Rinsche,"Precio actual
14,99 €
Precio original
94,99 €","1,5 horas en total8 clasesTodos los niveles"
"Excel desde cero
Para Principiantes, Intermedios y Avanzados",Etraining S.A DE C.V,"Precio actual
14,99 €
Precio original
49,99 €","7,5 horas en total149 clasesTodos los niveles"
"Aprende Excel de 0 a Intermedio
Domina la principal herramienta de gestión de las organizaciones a nivel mundial!",Ricardo Naya,"Precio actual
14,99 €
Precio original
94,99 €","5,5 horas en total22 clasesTodos los niveles"
"Microsoft Excel: De Principiante a Avanzado
Conviértete en un experto en Microsoft Excel, domina funciones, tablas dinámicas, herramientas de análisis y mucho más.",Ricardo Naya,"Precio actual
14,99 €
Precio original
89,99 €",16 horas en total193 clasesTodos los niveles
"Curso Excel Completo - Desde Principiante a Avanzado
Curso Completo de Excel, impartido por un Profesional, que cubre desde lo más Básico hasta lo más Avanzado de Excel.",Ariel Quintero,"Precio actual
14,99 €
Precio original
19,99 €",20 horas en total152 clasesTodos los niveles
"Microsoft Excel: Análisis de datos
Juan Carlos, con más de 10 años de experiencia en Business Intelligence, te enseñará análisis de datos.",Jesús Alberto Estrada Zendejas,"Precio actual
14,99 €
Precio original
29,99 €","9,5 horas en total98 clasesTodos los niveles"
