Title,Organization,Price,Info
"Como adaptar AdminLTE 2 y 3 en Codeigniter 4
Aprende como adaptar las plantillas de AdminLTE en su versión 2 y 3 en Codeigniter 4",Apasoft Training,"Precio actual
15,99 €
Precio original
19,99 €","2,5 horas en total
32 clases
Todos los niveles"
"Crea tu primer Juego en Javascript
Aprende a programar Juegos en JS. Control de movimientos DE personajes, creación de niveles , dificultades y mucho más!","KNOWMENT Formación, consultoría y coaching","Precio actual
15,99 €
Precio original
19,99 €","4,5 horas en total
44 clases
Todos los niveles"
"Crear un ecommerce FULLSTACK con LARAVEL Y ANGULAR
Crea tu propia tienda online full stack con LARAVEL, ANGULAR , MYSQL, JWT, PAYPAL y CULQI + Deploy DigitalOceans",Francisco Javier Arce Anguiano,"Precio actual
15,99 €
Precio original
19,99 €","3,5 horas en total
34 clases
Todos los niveles"
"Curso raspberry y Arduino, controla todo desde tu teléfono
Conocimiento de Arduino y Raspberry | desarrollo de apicaciones moviles con Xamarin Forms y Firebase",Pixel Pro Web,"Precio actual
19,99 €
Precio original
24,99 €","3,5 horas en total
18 clases
Intermedio"
".NET MAUI desde las bases hasta Profesional | Android | IOS
Construye Aplicaciones Moviles con .NET MAUI | Integrando bases de datos| Entity Framework | Rest Services | Security",Luis Alejandro Vázquez Muñiz,"Precio actual
14,99 €
Precio original
19,99 €","2,5 horas en total
7 clases
Intermedio"
"Generar y Leer Código QR y BarCode en Net Core y JavaScript
Aprende a crear , descargar , imprimir , leer codigos QR y BarCode en Net Core con ejercicios prácticos",Yirsis Serrano,"Precio actual
14,99 €
Precio original
94,99 €","4,5 horas en total
28 clases
Intermedio"
"OWASP, seguridad web
Detecta, soluciona, replica y entiende los ataques web más comunes",Kariel Granados Orozco,"Precio actual
14,99 €
Precio original
19,99 €","36,5 horas en total
134 clases
Intermedio"
"Proyecto Práctico Backend + Frontend con VUE y Laravel
Crearemos un sistema usando Backend y Frontend con Laravel, MySQL y VUE para gestión académica.",Diego Arca,"Precio actual
14,99 €
Precio original
19,99 €","1 hora en total
7 clases
Principiante"
"Fundamentos de SQL en Oracle para Empresas y Desarrollo
SQL Fundamentals curso especializado de lenguaje para empresas y equipos de desarrollo",Oscar Uh,"Precio actual
14,99 €
Precio original
34,99 €","17,5 horas en total
101 clases
Principiante"
"Crea un videojuego con Unity 2D y C sharp desde cero
Aprende a programar y al mismo tiempo crea juegos 2D con Unity paso a paso con ejemplos prácticos y sencillos",Manuel Martín,"Precio actual
14,99 €
Precio original
94,99 €","4,5 horas en total
72 clases
Todos los niveles"
"Aprende Lenguaje C# de CERO a EXPERTO
Aprende a programar en C# sin ningún conocimiento previo",Freddy Aguilar Rojas,"Precio actual
14,99 €
Precio original
49,99 €","6 horas en total
84 clases
Intermedio"
"Programación cuántica para programadores no cuánticos
Simular mediante programación en java un programa cuántico",Yudner Paredes,"Precio actual
14,99 €
Precio original
19,99 €","3,5 horas en total
24 clases
Todos los niveles"
"HTML & CSS INTENSIVO (Desde cero a experto).
Aprenderas a crear paginas web modernas, con las mejores practicas.",Master Class,"Precio actual
14,99 €
Precio original
19,99 €","2,5 horas en total
35 clases
Principiante"
"Aprende SQL con MySQL
Aprende SQ usando MySQL: uno de los lenguajes más utilizados en entornos empresariales y profesionales",Jonathan Castro,"Precio actual
14,99 €
Precio original
19,99 €","21 horas en total
106 clases
Principiante"
"Automatización de Pruebas Móviles desde Cero con Appium
Pruebas Automatizadas con Appium desde Cero para dispositivos Android",Walter Nick Suel Arroyo,"Precio actual
14,99 €
Precio original
69,99 €","3 horas en total
28 clases
Principiante"
"VueJS Desde Cero hasta Profesional 2023
Desarrolla Aplicaciones del mundo real con VueJS, Crea cualquier proyecto que te imagines con el framework JS más amado",Portal Ingeniería | +60.000 Students,"Precio actual
14,99 €
Precio original
29,99 €","4,5 horas en total
19 clases
Principiante"
"Docker - Guía práctica de uso para desarrolladores
Dockerfile, Compose, DockerHub, Registros, Despliegues, Volúmenes, Multi-staged builds, Multi architecture builds, y más",Oscar Uh,"Precio actual
14,99 €
Precio original
39,99 €","11,5 horas en total
98 clases
Todos los niveles"
"Ecommerce Amazon | ASP.NET Core | React | Clean Architecture
Construye con ASP.NET Core 7 y React un Ecommerce Amazon utilizando Clean Architecture | SQL Server | Authentication",Diego Arca,"Precio actual
14,99 €
Precio original
49,99 €","19,5 horas en total
287 clases
Todos los niveles"
