Title,Organization,Course_duration,Course_clases,Course_level,Course_actual_price,Course_original_price
"Curso Excel Completo - Desde Principiante a Avanzado
Curso Completo de Excel, impartido por un Profesional, que cubre desde lo más Básico hasta lo más Avanzado de Excel.",Ariel Quintero,20 horas en total,152,Todos los niveles,"14,99 €","19,99 €"
"Microsoft Excel: Análisis de datos
Juan Carlos, con más de 10 años de experiencia en Business Intelligence, te enseñará análisis de datos.",Jesús Alberto Estrada Zendejas,"9,5 horas en total",98,Todos los niveles,"14,99 €","29,99 €"
"Power BI Dashboard de Proyectos de Project y Primavera P6
Crea tus dashboard tus proyectos de Primavera P6 y Ms Project con Power BI",Dario Hernán Tarnowski,"7,5 horas en total",28,Todos los niveles,"14,99 €","24,99 €"
"Excel para la Gestión Administrativa Empresarial
Desde Cero hasta Avanzado",Wilmer Ocampo,"12,5 horas en total",9,Todos los niveles,"14,99 €","19,99 €"
"Microsoft Access – ISO 45001- Autoevaluación (SG-SST) .
Módulo 1 - Aprende a utilizar Access y desarrolla una base de datos para realizar la Autoevaluación de tu SG-SST",Christian Magallón García,8 horas en total,18,Todos los niveles,"14,99 €","94,99 €"
"Curso completo de ZOHO DESK
Aprende a configurar la herramienta de manera fácil y sencilla",Andrés G,"7,5 horas en total",17,Todos los niveles,"14,99 €","19,99 €"
"Excel 2022 - De Iniciación hasta Experto ¡En 6 horas!
Conviértete en experto de Excel aprendiendo a RAZONAR esta herramienta en vez de memorizando.",Renato Jesús Yacolca Neyra,"6,5 horas en total",72,Todos los niveles,"14,99 €","94,99 €"
"Microsoft Excel: De Cero a Héroe
Todo lo que necesitas saber sobre Excel, desde fórmulas y funciones esenciales, hasta consejos y trucos prácticos",Luciano Sívori,"10,5 horas en total",127,Todos los niveles,"14,99 €","19,99 €"
"Power Apps 101: Principios fundamentales para crear apps
Aprende a crear aplicaciones empresariales con office 365 y powerapps","Álvaro García, Cursos Online Arquitectura, Formación Certificada","7,5 horas en total",92,Principiante,"14,99 €","19,99 €"
"Formulas y funciones matriciales
Microsoft Excel",Jesús Bédmar Guerrero,30 horas en total,150,Experto,"14,99 €","94,99 €"
"CREACION DE CONTENIDOS PARA MARKETING DIGITAL
Crear contenido para tus redes sociales, videos, infografías, presentaciones de producto y muchas cosas más",Jesús Bédmar Guerrero,"3,5 horas en total",40,Todos los niveles,"14,99 €","29,99 €"
"Microsoft SharePoint - Curso Completo SharePoint, Office 365
Mejora la productividad de tu equipo con SharePoint. Centraliza y organiza el día a día de tu equipo en un único lugar",Alvaro Guerra,9 horas en total,75,Todos los niveles,"14,99 €","29,99 €"
">>> Domina Microsoft WORD de CERO a EXPERTO 2022 OFICINA <<<
Orientado a trabajos de OFICINA o de EDUCACIÓN, para elaborar documentos en Microsoft Word de manera ágil y sencilla",Cesar Martinez,4 horas en total,21,Todos los niveles,"14,99 €","29,99 €"
"Microsoft Excel: Desde cero a pro
Te enseñará todo sobre Microsoft Excel","Marcelo Concha, Matias Perez",5 horas en total,41,Todos los niveles,"14,99 €","24,99 €"
"GoodNotes 5, de cero a experto
Aprende a usar Goodnotes 5 de forma profesional, convirtiendo tu iPad en un papel digital inteligente.","Juan Carlos Hernandez Ramirez, Numpi Cursos","2,5 horas en total",58,Todos los niveles,"14,99 €","94,99 €"
"Equipos de Alto Desempeño con Microsoft Teams
Comienza tu formación con Celeritech",Andrés Roldán,"1,5 horas en total",54,Principiante,"14,99 €","19,99 €"
"Excel para principiantes
Aprende a utilizar Excel desde cero, funciones y comandos más útiles, así como crear tablas y gráficas dinámicas.",Alfonso Rinsche,"10,5 horas en total",44,Principiante,"14,99 €","34,99 €"
"Power Automate Casos Prácticos (Nube y Escritorio)
Una guía con ejemplos exigentes para aprovechar el potencial de Power Automate Online y Desktop",Alfonso Rinsche,"4,5 horas en total",38,Todos los niveles,"14,99 €","94,99 €"
"Manejo y análisis de información en Excel
curso intensivo básico-intermedio de Excel",Etraining S.A DE C.V,"4,5 horas en total",12,Principiante,"14,99 €","49,99 €"
"Ofimática para todos
Ofimática a tu alcance",Ricardo Naya,"5,5 horas en total",43,Todos los niveles,"14,99 €","94,99 €"
"SAP Debugger Completo en Español
Conviertete en experto en SAP Debugger.",Ricardo Naya,"2,5 horas en total",19,Todos los niveles,"14,99 €","89,99 €"
"Power Query en Excel
Microsoft Excel","Juan Carlos Hernandez Ramirez, Numpi Cursos",14 horas en total,74,Todos los niveles,"14,99 €","94,99 €"
"Monday - Curso de Monday Completo para Principiantes
Monday - Crea tu propia plataforma personalizada - Crea plataformas para otros - Consultoría",José G Guevara L,"2,5 horas en total",22,Todos los niveles,"14,99 €","19,99 €"
"Masters en Excel 1
Excel Básico - Intermedio",José G Guevara L,2 horas en total,25,Todos los niveles,"14,99 €","19,99 €"
"Preparando tu ambiente de pruebas SAP Business One desde 0
Instala en tu computadora ""SAP Business One 10.0 version for MSSQL"" | Crystal Reports | DTW | Service Layer | SDK",Hernando Maz Ponce de León,"6,5 horas en total",44,Principiante,"14,99 €","19,99 €"
"Microsoft Forms - Curso Completo Forms - Office 365
Crea formularios y cuestionarios con Microsoft Forms. Recibe y analiza datos en tiempo real en cualquier dispositivo",Millennials Consulting,3 horas en total,28,Todos los niveles,"14,99 €","39,99 €"
"Analisis de Proyectos con Primavera P6 y Power BI
Crea tus dashboard tus proyectos de Primavera P6 con Power BI",Íñigo Martín,4 horas en total,34,Todos los niveles,"14,99 €","19,99 €"
"Costos y Cálculos de Pastelería con Excel
Calcula tus costos usando excel para controlar tu emprendimiento",Nestor Reyes,"2,5 horas en total",16,Todos los niveles,"14,99 €","24,99 €"
"COTIZADOR en Excel (SIN MACROS)
Crea Cotizaciones Automáticas en Excel",Sebastian Vallejo Jimenez,"2,5 horas en total",35,Todos los niveles,"14,99 €","49,99 €"
"Curso completo Word Última Versión
Aprenda sobre las últimas herramientas y posibilidades que brinda Word",Miguel Angel Franco García,4 horas en total,15,Todos los niveles,"14,99 €","19,99 €"
"ConTabilidad + Excel, Macros Crea tu Propio sistema Contable
No solo aprendes contabilidad, sino que aprendes a crear tu propio sistema en Excel + VBA + Access",Reinaldo Cruz F.,"17,5 horas en total",157,Todos los niveles,"14,99 €","94,99 €"
"COTIZADOR en Hoja de Calculo de GOOGLE Sheets (SIN MACROS)
Cotizador en Excel de Google",Ivan AlsiGo,"2,5 horas en total",24,Todos los niveles,"14,99 €","94,99 €"
"Microsoft Excel: Desde cero para principiantes
Juan Carlos, con más de 10 años de experiencia en Business Intelligence, te enseñará todo sobre Microsoft Excel",Kenneth Trigueros Ramírez,"6,5 horas en total",99,Principiante,"14,99 €","89,99 €"
"Curso De Excel Definitivo - De Principiante a Experto
Inmersión en Excel COMPLETO. Convierte Excel en tu mano derecha con nuestro programa inmersivo desde cero a EXPERTO",Alvaro Guerra,16 horas en total,182,Todos los niveles,"14,99 €","19,99 €"
