Title,Organization,Course_duration,Course_clases,Course_level,Course_actual_price,Course_original_price
"WhatsApp Api con PHP Envío y Recepción de Mensajes
WhatsApp Api con PHP Envío y Recepción de Mensajes, Creación de un Chat BOT, Integración con CHATGPT",Christian Ramirez,"4,5 horas en total",42,Todos los niveles,"14,99 €","94,99 €"
"APP de cuentos con IA junto a ChatGPT | Flutter y NestJS
Tu propia APP (Multi-Idioma) de cuentos generados con IA tipo Twitter utilizando Flutter y NestJS junto a ChatGPT",Yordis Escorcia Vasquez,6 horas en total,41,Todos los niveles,"14,99 €","69,99 €"
"Master en Pruebas Técnicas: +70 Nuevos Ejercicios de Código
Entrenamiento intensivo de Pruebas Técnicas y Lógica de Programación ¡Supera tu próxima Entrevista de Desarrollador!",Cristhian Carrascal,16 horas en total,156,Principiante,"14,99 €","19,99 €"
"Fundamentos de Algoritmos, entrena tu Lógica en programación
Mejora como Programador. Te explicamos diferentes Algoritmos junto a mucho practica. Desarrolla como un Profesional.",Marian Aguilera Mora,16 horas en total,156,Principiante,"14,99 €","19,99 €"
"Análisis Exploratorio de Datos con Python y R
Análisis y manejo de datos con Python y R.",Jaime Alfredo Avilés Flores,2 horas en total,43,Principiante,"14,99 €","19,99 €"
"Curso de PHP desde básico
Aprende desde cero PHP",Disco Duro de Roer,6 horas en total,41,Todos los niveles,"14,99 €","94,99 €"
"Flutter para principiantes: desde 0 y full proyectos - 2023
Inicia tu camino hacia Flutter de forma fácil y rápida.",Tomás Emiliano Lazarte,34 minutos en total,7,Principiante,"14,99 €","19,99 €"
"Ultimate Python: de cero a programador experto
Conviértete en programador experto viendo desde lo básico hasta lo más avanzado de Python",Rodrigo Villanueva Nieto,"10,5 horas en total",97,Principiante,"14,99 €","19,99 €"
"Sumérgete en JavaScript | De cero a experto
Variables, Bucles, Programación Orientada a Objetos, Métodos de Arrays, DOM, Eventos, Asincronía, Librerías, API...y MÁS",Jesus Montoya Vera,"11,5 horas en total",129,Todos los niveles,"14,99 €","24,99 €"
"Construye tu propio Robot tipo SCARA con Arduino y Python
Robótica, Python y Arduino, Motores paso a paso e Impresión 3D",Alan Rodriguez Lukifah,14 horas en total,183,Todos los niveles,"14,99 €","94,99 €"
"Adaptadores en Android con Kotlin curso de 0 a 100
Desarrolla aplicaciones en Android Studio con adaptadores de todo tipo, Spinner, RecyclerView, AutoComplete, Fragments",Davis Anderson Bastidas Vicente,6 horas en total,44,Principiante,"14,99 €","19,99 €"
"JavaScript TOTAL - 18 Días para ser Desarrollador Web
Crea sitios web desde 0. Un PROYECTO REAL por día. Practica con +130 ejercicios. HTML, CSS, Node.js, Angular, JSON y más",Juan Pablo Guamán Rodríguez,6 horas en total,69,Principiante,"14,99 €","19,99 €"
"Aprende HTML5 de CERO a EXPERTO
Aprende HTML sin ningún conocimiento previo",Víctor Robles,17 horas en total,147,Todos los niveles,"14,99 €","94,99 €"
"Angular: Sistema para medicos con php - mysql y Angular v3
Plantilla Admin LTE pro, impresión de recetas medias y almacenamiento de imágenes","Alvaro Chirou • 1.300.000+ Enrollments Worldwide, Brian De Vita",3 horas en total,31,Todos los niveles,"14,99 €","94,99 €"
"Creación de Páginas Web con HTML
(Nivel Básico)","Alvaro Chirou • 1.300.000+ Enrollments Worldwide, Walter Coto || +400,000 Estudiantes",10 horas en total,116,Todos los niveles,"14,99 €","94,99 €"
"Algoritmos, Estructuras de Datos y Entrevistas Programación
+50 ejercicios de entrevistas programación. Big O, algoritmos y estructuras de datos. Lógica programación. Mejora tu CV.",Lucas Patrón,"9,5 horas en total",69,Todos los niveles,"14,99 €","19,99 €"
"Aprende Java desde cero, en camino a la certificación
Java de basico a avanzado, comenzando con estructuras y sintaxis simples hasta expresiones lambda y manejo de excepcione",Francisco Javier Arce Anguiano,7 horas en total,101,Intermedio,"24,99 €","29,99 €"
"Desarrollo profesional con React
Vite, API Rest, Login JWT, Formularios, Rutas, Context, Redux, Material,Next.js, Webpay de Transbank, Paypal",Apasoft Training,29 horas en total,231,Principiante,"15,99 €","19,99 €"
"Crea tu Aplicación WEB con SYMFONY
Aprende a crear tu propia Aplicación WEB con Symfony desde CERO","KNOWMENT Formación, consultoría y coaching",4 horas en total,18,Principiante,"15,99 €","19,99 €"
